speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId,subnational2Code,subnational2Name,subnational1Code,subnational1Name,countryCode,countryName,userDisplayName,obsId,checklistId,presenceNoted,hasComments,firstName,lastName,hasRichMedia,exoticCategory
eursta,European Starling,Sturnus vulgaris,L2987624,McGolrick Park,2024-01-09 07:48:00,,40.7245046,-73.9433616,True,False,False,S158500061,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1919805014,CL23822,True,False,Greg,Thornberg,False,N
amerob,American Robin,Turdus migratorius,L2987624,McGolrick Park,2024-01-09 07:48:00,,40.7245046,-73.9433616,True,False,False,S158500061,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1919805015,CL23822,True,False,Greg,Thornberg,False,
houspa,House Sparrow,Passer domesticus,L2987624,McGolrick Park,2024-01-09 07:48:00,,40.7245046,-73.9433616,True,False,False,S158500061,US-NY-047,Kings,US-NY,New York,US,United States,Greg Thornberg,OBS1919805013,CL23822,True,False,Greg,Thornberg,False,N
moudov,Mourning Dove,Zenaida macroura,L2987624,McGolrick Park,2024-01-09 07:40:00,,40.7245046,-73.9433616,True,False,False,S158504164,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919853604,CL23822,False,False,Parsley,Steinweiss,False,
coohaw,Cooper's Hawk,Astur cooperii,L2987624,McGolrick Park,2024-01-09 07:40:00,,40.7245046,-73.9433616,True,False,False,S158504164,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919853607,CL23822,False,False,Parsley,Steinweiss,False,
rebwoo,Red-bellied Woodpecker,Melanerpes carolinus,L2987624,McGolrick Park,2024-01-09 07:40:00,,40.7245046,-73.9433616,True,False,False,S158504164,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919853608,CL23822,False,False,Parsley,Steinweiss,False,
dowwoo,Downy Woodpecker,Dryobates pubescens,L2987624,McGolrick Park,2024-01-09 07:40:00,,40.7245046,-73.9433616,True,False,False,S158504164,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919853606,CL23822,False,False,Parsley,Steinweiss,False,
norfli,Northern Flicker,Colaptes auratus,L2987624,McGolrick Park,2024-01-09 07:40:00,,40.7245046,-73.9433616,True,False,False,S158504164,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919853602,CL23822,False,False,Parsley,Steinweiss,False,
amecro,American Crow,Corvus brachyrhynchos,L2987624,McGolrick Park,2024-01-09 07:40:00,,40.7245046,-73.9433616,True,False,False,S158504164,US-NY-047,Kings,US-NY,New York,US,United States,Parsley Steinweiss,OBS1919853610,CL23822,False,False,Parsley,Steinweiss,False,
rethaw,Red-tailed Hawk,Buteo jamaicensis,L2987624,McGolrick Park,2024-01-10 15:58:00,,40.7245046,-73.9433616,True,False,False,S158590833,US-NY-047,Kings,US-NY,New York,US,United States,Michael  Lombardo,OBS1920807637,CL23822,False,False,Michael,Lombardo,False,
